,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
0,743,CASH_OUT,850002.52,C1280323807,850002.52,0.0,C873221189,6510099.11,7360101.63,1,0
1,174,CASH_OUT,18887.22,C1144158432,18887.22,0.0,C2034180207,0.0,18887.22,1,0
2,173,CASH_OUT,20311.17,C1681954002,20311.17,0.0,C350037607,525.19,20836.35,1,0
3,173,TRANSFER,20311.17,C1987163387,20311.17,0.0,C1935979044,0.0,0.0,1,0
4,173,CASH_OUT,176273.29,C14325153,176273.29,0.0,C856044772,0.0,176273.29,1,0
5,173,TRANSFER,176273.29,C386692409,176273.29,0.0,C1025742188,0.0,0.0,1,0
6,173,CASH_OUT,8594499.99,C1414061418,8594499.99,0.0,C161212060,188325.81,8782825.8,1,0
7,173,TRANSFER,8594499.99,C377226285,8594499.99,0.0,C497430875,0.0,0.0,1,0
8,173,CASH_OUT,364333.03,C1289446218,364333.03,0.0,C99354775,0.0,364333.03,1,0
9,173,TRANSFER,364333.03,C627887471,364333.03,0.0,C677512181,0.0,0.0,1,0
10,173,CASH_OUT,2177218.43,C450561445,2177218.43,0.0,C1075348177,0.0,2177218.43,1,0
11,173,TRANSFER,2177218.43,C1302526975,2177218.43,0.0,C595351088,0.0,0.0,1,0
12,173,CASH_OUT,2232667.51,C441260218,2232667.51,0.0,C1543135091,205027.36,2437694.87,1,0
13,173,TRANSFER,2232667.51,C1786873519,2232667.51,0.0,C732697292,0.0,0.0,1,0
14,173,CASH_OUT,98634.75,C1536726589,98634.75,0.0,C12493912,966049.7,1064684.45,1,0
15,173,TRANSFER,98634.75,C1042347270,98634.75,0.0,C1491818323,0.0,0.0,1,0
16,172,CASH_OUT,692984.55,C1799581690,692984.55,0.0,C1865178469,758852.8,1451837.35,1,0
17,172,TRANSFER,692984.55,C548545362,692984.55,0.0,C373573022,0.0,0.0,1,0
18,172,CASH_OUT,976830.22,C362141852,976830.22,0.0,C171474212,0.0,976830.22,1,0
19,172,TRANSFER,976830.22,C2027508914,976830.22,0.0,C1907001338,0.0,0.0,1,0
20,172,CASH_OUT,800024.12,C1112585109,800024.12,0.0,C414783966,108216.94,908241.06,1,0
21,172,TRANSFER,800024.12,C1324987757,800024.12,0.0,C704140771,0.0,0.0,1,0
22,172,CASH_OUT,70072.66,C1634834967,70072.66,0.0,C1403933655,519712.34,589784.99,1,0
23,172,TRANSFER,70072.66,C739431473,70072.66,0.0,C1097630164,0.0,0.0,1,0
24,172,CASH_OUT,1116508.49,C45204109,1116508.49,0.0,C500640535,4052464.84,5168973.32,1,0
25,172,TRANSFER,1116508.49,C662766800,1116508.49,0.0,C18004144,0.0,0.0,1,0
26,171,CASH_OUT,1437291.89,C336375324,1437291.89,0.0,C1430125468,0.0,1437291.89,1,0
27,174,TRANSFER,18887.22,C269586654,18887.22,0.0,C229186362,0.0,0.0,1,0
28,174,TRANSFER,31045.76,C1059048177,31045.76,0.0,C1277391271,0.0,0.0,1,0
29,171,CASH_OUT,2754740.54,C52657218,2754740.54,0.0,C1861630818,1767824.71,4522565.25,1,0
30,174,CASH_OUT,31045.76,C1595490244,31045.76,0.0,C750943234,2081308.37,2112354.13,1,0
31,466,CASH_OUT,230806.85,C1891374197,230806.85,0.0,C1590958349,1599122.59,1829929.44,1,0
32,176,CASH_OUT,665489.33,C1008719694,665489.33,0.0,C1320083995,1184319.45,1849808.78,1,0
33,176,TRANSFER,665489.33,C399364024,665489.33,0.0,C201700405,0.0,0.0,1,0
34,176,CASH_OUT,455709.8,C430667464,455709.8,0.0,C2067401577,46498.39,502208.18,1,0
35,176,TRANSFER,455709.8,C1919843108,455709.8,0.0,C69123397,0.0,0.0,1,0
36,176,CASH_OUT,351332.16,C1071813500,351332.16,0.0,C2129197098,0.0,351332.16,1,0
37,176,TRANSFER,351332.16,C1773992583,351332.16,0.0,C1305245838,0.0,0.0,1,0
38,176,CASH_OUT,102229.91,C2034388364,102229.91,0.0,C949501581,0.0,102229.91,1,0
39,176,TRANSFER,102229.91,C1177644570,102229.91,0.0,C1344630204,0.0,0.0,1,0
40,176,CASH_OUT,106642.43,C971898032,106642.43,0.0,C1932810385,4622.5,111264.92,1,0
41,176,TRANSFER,106642.43,C2073914981,106642.43,0.0,C1753584812,0.0,0.0,1,0
42,175,CASH_OUT,319208.14,C892428215,319208.14,0.0,C1209378395,1905620.3,2224828.44,1,0
43,175,TRANSFER,319208.14,C1314274977,319208.14,0.0,C650349902,0.0,0.0,1,0
44,175,CASH_OUT,87622.5,C890173337,87622.5,0.0,C1148930688,262099.92,349722.42,1,0
45,175,TRANSFER,87622.5,C344677665,87622.5,0.0,C1831197115,0.0,0.0,1,0
46,175,CASH_OUT,47604.75,C2000554680,47604.75,0.0,C90982543,0.0,47604.75,1,0
47,175,TRANSFER,47604.75,C1972288489,47604.75,0.0,C305797436,0.0,0.0,1,0
48,175,CASH_OUT,895565.06,C763112814,895565.06,0.0,C1338000505,100335.14,995900.2,1,0
49,175,TRANSFER,895565.06,C1046781112,895565.06,0.0,C556777856,0.0,0.0,1,0
50,174,CASH_OUT,1536245.52,C1771922925,1536245.52,0.0,C1040401356,682568.09,2218813.6,1,0
51,174,TRANSFER,1536245.52,C1831248257,1536245.52,0.0,C525486982,0.0,0.0,1,0
52,174,CASH_OUT,250223.24,C598087095,250223.24,0.0,C900560128,1626694.65,1876917.89,1,0
53,174,TRANSFER,250223.24,C788474412,250223.24,0.0,C1128836138,0.0,0.0,1,0
54,174,CASH_OUT,1244224.16,C1409947310,1244224.16,0.0,C1545423847,1350776.28,2595000.45,1,0
55,174,TRANSFER,1244224.16,C381361852,1244224.16,0.0,C1125303193,0.0,0.0,1,0
56,171,TRANSFER,1437291.89,C533125295,1437291.89,0.0,C1217960953,0.0,0.0,1,0
57,171,TRANSFER,2754740.54,C99753762,2754740.54,0.0,C1760625669,0.0,0.0,1,0
58,322,TRANSFER,9208368.83,C1256410677,9208368.83,0.0,C1153188048,0.0,0.0,1,0
59,467,TRANSFER,144283.42,C1294019179,144283.42,0.0,C63457750,0.0,0.0,1,0
60,468,TRANSFER,1165187.89,C1125545468,1165187.89,0.0,C1693214292,0.0,0.0,1,0
61,468,CASH_OUT,1165187.89,C1626151700,1165187.89,0.0,C184686299,0.0,1165187.89,1,0
62,468,TRANSFER,764646.4,C618333968,764646.4,0.0,C830994571,0.0,0.0,1,0
63,468,CASH_OUT,764646.4,C2035637987,764646.4,0.0,C1696840371,0.0,764646.4,1,0
64,468,TRANSFER,155926.42,C161250720,155926.42,0.0,C314194629,0.0,0.0,1,0
65,468,CASH_OUT,155926.42,C19001916,155926.42,0.0,C654239643,369481.23,525407.65,1,0
66,468,TRANSFER,652782.54,C851249845,652782.54,0.0,C2109638287,0.0,0.0,1,0
67,468,CASH_OUT,652782.54,C1743463751,652782.54,0.0,C400200038,170737.43,823519.97,1,0
68,468,TRANSFER,1455382.05,C1459301109,1455382.05,0.0,C1248513597,0.0,0.0,1,0
69,468,CASH_OUT,1455382.05,C1519723202,1455382.05,0.0,C2047987740,216454.16,1671836.21,1,0
70,468,TRANSFER,19952.89,C10974087,19952.89,0.0,C1896366978,0.0,0.0,1,0
71,468,CASH_OUT,19952.89,C1054388169,19952.89,0.0,C1350880657,41255.75,61208.64,1,0
72,284,CASH_OUT,498747.55,C1268687725,498747.55,0.0,C1524935695,0.0,498747.55,1,0
73,284,TRANSFER,498747.55,C1358700061,498747.55,0.0,C705797275,0.0,0.0,1,0
74,170,CASH_OUT,6302888.93,C1323638722,6302888.93,0.0,C378717851,73921.3,6376810.23,1,0
75,170,TRANSFER,6302888.93,C1224347529,6302888.93,0.0,C938248377,0.0,0.0,1,0
76,170,CASH_OUT,176700.12,C1854024553,176700.12,0.0,C1656789626,0.0,176700.12,1,0
77,170,TRANSFER,176700.12,C167000923,176700.12,0.0,C604175667,0.0,0.0,1,0
78,170,CASH_OUT,147649.37,C41202461,147649.37,0.0,C755223579,1276920.56,1424569.93,1,0
79,170,TRANSFER,147649.37,C220889804,147649.37,0.0,C1303263986,0.0,0.0,1,0
80,170,CASH_OUT,7246962.16,C376746330,7246962.16,0.0,C1384358824,1394594.82,8641556.98,1,0
81,170,TRANSFER,7246962.16,C622490191,7246962.16,0.0,C1928486758,0.0,0.0,1,0
82,42,TRANSFER,334276.08,C1374233613,334276.08,0.0,C443044241,0.0,0.0,1,0
83,42,CASH_OUT,334276.08,C1006070662,334276.08,0.0,C1475265472,318089.61,652365.68,1,0
84,169,CASH_OUT,19244.9,C1410307167,19244.9,0.0,C941219258,264512.88,283757.78,1,0
85,467,CASH_OUT,144283.42,C1478536822,144283.42,0.0,C1266929646,0.0,144283.42,1,0
86,467,CASH_OUT,636942.02,C1873382948,636942.02,0.0,C916193312,46336.09,683278.11,1,0
87,171,CASH_OUT,948288.3,C1025957103,948288.3,0.0,C434428379,2189773.93,3138062.23,1,0
88,467,TRANSFER,636942.02,C747042147,636942.02,0.0,C310235538,0.0,0.0,1,0
89,171,TRANSFER,948288.3,C664235460,948288.3,0.0,C162417333,0.0,0.0,1,0
90,171,CASH_OUT,211721.9,C628388986,211721.9,0.0,C943512909,0.0,211721.9,1,0
91,171,TRANSFER,211721.9,C1835704513,211721.9,0.0,C260205493,0.0,0.0,1,0
92,171,CASH_OUT,1777674.32,C1402549847,1777674.32,0.0,C354225366,1953534.39,3731208.71,1,0
93,171,TRANSFER,1777674.32,C847645948,1777674.32,0.0,C269162612,0.0,0.0,1,0
94,171,CASH_OUT,1786247.31,C518707081,1786247.31,0.0,C1347472124,244952.19,2031199.5,1,0
95,171,TRANSFER,1786247.31,C499413300,1786247.31,0.0,C1789606671,0.0,0.0,1,0
